address,balance
0x7c235e91a12915f846581eb5cf6c97016284f346,1600000000
0x03acca3ac9c84445bc4c69c00b576baa8c3031e0,1000000000
0xc3d51bb680262bca1926107b5152cb3363756f63,102700000000
0xa301108adbfcaf68cdfc10929446aee4a898b865,91700000000
0xc921419387e557cd39dc3126ed54a9fbe8df2e35,800000000
0xba2e6c3193d1f8d42b6d37ac23cf325ca24a21a6,25300000000
0x1001fa8c4fdc358916198fad2f704446d38d0fa9,302300000000
0x375e03240f9106733c66055e1eebb20985192f92,134400000000
0x7cd91216a89b6650ec3e921bdb81d1f40c48c583,274700000000
0x993e30ade09883c57e6b692954ade3cd3f404ab7,276000000000
0x93cc67aba72ad8496cee6bf7a1eb1f8aa1ec6679,231900000000
0xbae48e9c315a921322441dca1badcabca715126c,239800000000
0x1e63f42538ad0ae44e479af989ac24d37a65d8c4,274800000000
0x3f06562b1a698686f5e0616fbfd5e2670b79ee50,277200000000
0x1801a030319ddf9836219f651cb6b29aa7c7facd,235700000000
0xc52bcef9896bbbe0cbd5d2aeef04572106bc9828,247300000000
0x8ce16fc096c21d2791cae64f1aad4745bbf96ff4,266000000000
0x3833750051026f29d6c14a203bd2d097cd21c631,237800000000
0x1e33bbe03edea094956bc567d83515b342fd039a,269400000000
0x9c25f5a68a5f71f0c6cb897e1b7d807f76391f32,270100000000
0x7ae46786647d9193ffa573f91f62f8e14e21b6d0,238000000000
0x37f8dbcc67690c8fb3065227bf4b36e4d0fca614,262600000000
0x5b132d5779c54bbb830d0e08a698460034ced837,265000000000
0x022a0a47fe4f8ac92959d316b4972eea79573288,263200000000
0xf3ddf485aedd44da73999f6d450fc0f3100e414a,275800000000
0x758274e56e6f39deb8192715794fa0014b893173,235500000000
0x4024ca2056d7780f93bb3946b6ddda5dba044ab5,275000000000
0xcea3bf02d82a77ca152cc0e44029f927ae40e4aa,261400000000
0x6c59374411d38a47e4ff1004efb482346520386e,233700000000
0x5f35823f13def417a20b9b2a713f600a33aa86fb,265800000000
